pit: -4.46, rol: 0.08, yaw: -5.28, acc_x: 1618, acc_y: 938, acc_z: 13256, gyr_x: 64, gyr_y: -75, gyr_z: -104, temp: 1324
pit: -2.95, rol: -0.94, yaw: -5.31, acc_x: 906, acc_y: -406, acc_z: 16260, gyr_x: -209, gyr_y: 453, gyr_z: 157, temp: 1323
pit: -3.14, rol: -0.80, yaw: -5.35, acc_x: 1264, acc_y: 1996, acc_z: 13572, gyr_x: 281, gyr_y: 107, gyr_z: 129, temp: 1325
pit: -3.02, rol: -0.07, yaw: -4.97, acc_x: 846, acc_y: 2608, acc_z: 14314, gyr_x: 168, gyr_y: 103, gyr_z: 274, temp: 1322
pit: -2.15, rol: 0.93, yaw: -4.20, acc_x: 112, acc_y: 2842, acc_z: 13776, gyr_x: 192, gyr_y: 44, gyr_z: 18, temp: 1322
pit: -2.20, rol: 1.83, yaw: -3.67, acc_x: 1380, acc_y: 4550, acc_z: 14772, gyr_x: 295, gyr_y: -129, gyr_z: 210, temp: 1325
pit: -1.22, rol: 1.87, yaw: -2.22, acc_x: 524, acc_y: 992, acc_z: 14058, gyr_x: 376, gyr_y: -354, gyr_z: 242, temp: 1326
pit: -2.58, rol: 2.28, yaw: -2.27, acc_x: -390, acc_y: 1898, acc_z: 12028, gyr_x: -120, gyr_y: 301, gyr_z: 222, temp: 1324
pit: -2.58, rol: 1.16, yaw: -1.78, acc_x: 1842, acc_y: 2104, acc_z: 12660, gyr_x: -108, gyr_y: -130, gyr_z: -13, temp: 1322
pit: -3.21, rol: 1.43, yaw: -2.23, acc_x: 960, acc_y: 3614, acc_z: 12626, gyr_x: -107, gyr_y: 86, gyr_z: -36, temp: 1323
pit: -2.27, rol: 1.26, yaw: -2.45, acc_x: 736, acc_y: 3240, acc_z: 14860, gyr_x: -92, gyr_y: 266, gyr_z: -61, temp: 1325
pit: -1.67, rol: 1.83, yaw: -3.18, acc_x: 52, acc_y: 3960, acc_z: 15638, gyr_x: 96, gyr_y: -80, gyr_z: -112, temp: 1321
